"","date","state","cases_new"
"1","2020-03-24","Johor",4
"2","2020-03-24","Kedah",5
"3","2020-03-24","Kelantan",7
"4","2020-03-24","Melaka",6
"6","2020-03-24","Pahang",1
"7","2020-03-24","Perak",17
"8","2020-03-24","Perlis",0
"9","2020-03-24","Pulau Pinang",2
"10","2020-03-24","Sabah",1
"11","2020-03-24","Sarawak",5
"12","2020-03-24","Selangor",27
"13","2020-03-24","Terengganu",0
"14","2020-03-24","W.P. Kuala Lumpur",15
"15","2020-03-24","W.P. Labuan",0
"16","2020-03-24","W.P. Putrajaya",2
"17","2020-03-25","Johor",34
"18","2020-03-25","Kedah",6
"19","2020-03-25","Kelantan",6
"20","2020-03-25","Melaka",2
"22","2020-03-25","Pahang",7
"23","2020-03-25","Perak",30
"24","2020-03-25","Perlis",1
"25","2020-03-25","Pulau Pinang",1
"26","2020-03-25","Sabah",0
"27","2020-03-25","Sarawak",2
"28","2020-03-25","Selangor",53
"29","2020-03-25","Terengganu",0
"30","2020-03-25","W.P. Kuala Lumpur",15
"31","2020-03-25","W.P. Labuan",0
"32","2020-03-25","W.P. Putrajaya",1
"33","2020-03-26","Johor",43
"34","2020-03-26","Kedah",3
"35","2020-03-26","Kelantan",10
"36","2020-03-26","Melaka",0
"38","2020-03-26","Pahang",2
"39","2020-03-26","Perak",23
"40","2020-03-26","Perlis",0
"41","2020-03-26","Pulau Pinang",4
"42","2020-03-26","Sabah",2
"43","2020-03-26","Sarawak",10
"44","2020-03-26","Selangor",77
"45","2020-03-26","Terengganu",1
"46","2020-03-26","W.P. Kuala Lumpur",49
"47","2020-03-26","W.P. Labuan",0
"48","2020-03-26","W.P. Putrajaya",2
"49","2020-03-27","Johor",20
"50","2020-03-27","Kedah",1
"51","2020-03-27","Kelantan",4
"52","2020-03-27","Melaka",0
"54","2020-03-27","Pahang",5
"55","2020-03-27","Perak",7
"56","2020-03-27","Perlis",0
"57","2020-03-27","Pulau Pinang",6
"58","2020-03-27","Sabah",10
"59","2020-03-27","Sarawak",15
"60","2020-03-27","Selangor",36
"61","2020-03-27","Terengganu",2
"62","2020-03-27","W.P. Kuala Lumpur",16
"63","2020-03-27","W.P. Labuan",0
"64","2020-03-27","W.P. Putrajaya",2
"65","2020-03-28","Johor",26
"66","2020-03-28","Kedah",1
"67","2020-03-28","Kelantan",10
"68","2020-03-28","Melaka",9
"70","2020-03-28","Pahang",14
"71","2020-03-28","Perak",6
"72","2020-03-28","Perlis",0
"73","2020-03-28","Pulau Pinang",6
"74","2020-03-28","Sabah",15
"75","2020-03-28","Sarawak",8
"76","2020-03-28","Selangor",34
"77","2020-03-28","Terengganu",4
"78","2020-03-28","W.P. Kuala Lumpur",6
"79","2020-03-28","W.P. Labuan",5
"80","2020-03-28","W.P. Putrajaya",0
"81","2020-03-29","Johor",24
"82","2020-03-29","Kedah",1
"83","2020-03-29","Kelantan",15
"84","2020-03-29","Melaka",1
"86","2020-03-29","Pahang",12
"87","2020-03-29","Perak",11
"88","2020-03-29","Perlis",0
"89","2020-03-29","Pulau Pinang",1
"90","2020-03-29","Sabah",0
"91","2020-03-29","Sarawak",11
"92","2020-03-29","Selangor",33
"93","2020-03-29","Terengganu",2
"94","2020-03-29","W.P. Kuala Lumpur",28
"95","2020-03-29","W.P. Labuan",0
"96","2020-03-29","W.P. Putrajaya",2
"97","2020-03-30","Johor",22
"98","2020-03-30","Kedah",2
"99","2020-03-30","Kelantan",4
"100","2020-03-30","Melaka",7
"102","2020-03-30","Pahang",3
"103","2020-03-30","Perak",8
"104","2020-03-30","Perlis",1
"105","2020-03-30","Pulau Pinang",1
"106","2020-03-30","Sabah",4
"107","2020-03-30","Sarawak",6
"108","2020-03-30","Selangor",59
"109","2020-03-30","Terengganu",0
"110","2020-03-30","W.P. Kuala Lumpur",26
"111","2020-03-30","W.P. Labuan",0
"112","2020-03-30","W.P. Putrajaya",3
"113","2020-03-31","Johor",16
"114","2020-03-31","Kedah",0
"115","2020-03-31","Kelantan",4
"116","2020-03-31","Melaka",2
"118","2020-03-31","Pahang",3
"119","2020-03-31","Perak",5
"120","2020-03-31","Perlis",1
"121","2020-03-31","Pulau Pinang",6
"122","2020-03-31","Sabah",5
"123","2020-03-31","Sarawak",21
"124","2020-03-31","Selangor",32
"125","2020-03-31","Terengganu",0
"126","2020-03-31","W.P. Kuala Lumpur",34
"127","2020-03-31","W.P. Labuan",0
"128","2020-03-31","W.P. Putrajaya",2
"129","2020-04-01","Johor",19
"130","2020-04-01","Kedah",2
"131","2020-04-01","Kelantan",3
"132","2020-04-01","Melaka",11
"134","2020-04-01","Pahang",9
"135","2020-04-01","Perak",5
"136","2020-04-01","Perlis",0
"137","2020-04-01","Pulau Pinang",2
"138","2020-04-01","Sabah",3
"139","2020-04-01","Sarawak",32
"140","2020-04-01","Selangor",22
"141","2020-04-01","Terengganu",1
"142","2020-04-01","W.P. Kuala Lumpur",25
"143","2020-04-01","W.P. Labuan",0
"144","2020-04-01","W.P. Putrajaya",0
"145","2020-04-02","Johor",27
"146","2020-04-02","Kedah",1
"147","2020-04-02","Kelantan",3
"148","2020-04-02","Melaka",7
"150","2020-04-02","Pahang",3
"151","2020-04-02","Perak",6
"152","2020-04-02","Perlis",0
"153","2020-04-02","Pulau Pinang",2
"154","2020-04-02","Sabah",1
