"","date","state","beds_icu","beds_icu_rep","beds_icu_total","beds_icu_covid","vent","icu_covid","icu_pui","icu_noncovid","vent_covid","vent_noncovid","vent_used","beds_icu_total_avail"
"1","24/3/2020","Johor",10,22,32,10,11,0,0,1,0,0,8,31
"2","24/3/2020","Kedah",35,0,35,16,34,2,1,12,1,0,19,20
"3","24/3/2020","Kelantan",39,0,39,20,42,1,0,20,1,0,26,18
"4","24/3/2020","Melaka",26,0,26,12,23,0,2,12,0,0,13,12
"6","24/3/2020","Pahang",21,0,21,7,37,2,0,14,1,0,32,5
"7","24/3/2020","Perak",39,0,39,17,50,24,2,6,4,0,37,7
"8","24/3/2020","Perlis",13,0,13,4,17,0,0,8,0,0,16,5
"9","24/3/2020","Pulau Pinang",26,0,26,6,28,0,0,8,0,0,20,18
"10","24/3/2020","Sabah",66,4,70,60,66,1,0,35,1,0,41,34
"11","24/3/2020","Sarawak",51,12,63,26,64,7,1,29,7,0,47,26
"12","24/3/2020","Selangor",42,62,104,42,56,23,0,2,12,0,56,79
"13","24/3/2020","Terengganu",23,0,23,12,33,0,0,14,0,0,23,9
"14","24/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,9,0,1,9,0,10,23
"15","24/3/2020","W.P. Labuan",5,2,7,0,5,0,0,2,0,0,0,5
"16","25/3/2020","Johor",10,22,32,10,11,2,0,1,1,0,1,29
"17","25/3/2020","Kedah",35,0,35,16,34,3,0,14,2,0,21,18
"18","25/3/2020","Kelantan",44,0,44,20,47,3,2,32,2,0,36,7
"19","25/3/2020","Melaka",26,0,26,12,23,0,1,8,0,0,15,17
"21","25/3/2020","Pahang",21,0,21,7,37,2,0,13,2,0,33,6
"22","25/3/2020","Perak",47,0,47,17,60,8,0,16,7,0,33,23
"23","25/3/2020","Perlis",13,0,13,4,17,0,0,9,0,0,16,4
"24","25/3/2020","Pulau Pinang",26,0,26,6,28,1,0,8,1,0,18,17
"25","25/3/2020","Sabah",66,4,70,60,66,1,0,24,1,0,27,45
"26","25/3/2020","Sarawak",51,12,63,26,64,10,0,29,9,0,46,24
"27","25/3/2020","Selangor",42,62,104,42,56,19,0,4,15,0,56,81
"28","25/3/2020","Terengganu",23,0,23,12,33,0,0,13,0,0,21,10
"29","25/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,10,0,0,10,0,10,23
"30","25/3/2020","W.P. Labuan",5,2,7,0,5,0,0,2,0,0,0,5
"31","26/3/2020","Johor",10,22,32,10,11,3,2,0,1,0,1,27
"32","26/3/2020","Kedah",35,0,35,16,34,3,1,14,2,0,22,17
"33","26/3/2020","Kelantan",44,0,44,20,47,4,2,23,1,0,33,15
"34","26/3/2020","Melaka",26,0,26,12,23,0,2,14,0,0,5,10
"36","26/3/2020","Pahang",21,0,21,7,37,2,0,11,2,0,32,8
"37","26/3/2020","Perak",47,0,47,17,60,9,2,14,8,0,42,22
"38","26/3/2020","Perlis",13,0,13,4,17,0,1,7,0,0,15,5
"39","26/3/2020","Pulau Pinang",26,0,26,6,28,1,0,9,1,0,19,16
"40","26/3/2020","Sabah",66,4,70,60,66,3,1,22,2,0,31,44
"41","26/3/2020","Sarawak",51,12,63,26,64,10,1,24,9,0,34,28
"42","26/3/2020","Selangor",42,62,104,42,56,24,2,1,12,0,56,77
"43","26/3/2020","Terengganu",23,0,23,12,33,0,0,16,0,0,21,7
"44","26/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,9,0,16,9,0,35,8
"45","26/3/2020","W.P. Labuan",5,2,7,0,5,0,0,4,0,0,3,3
"46","27/3/2020","Johor",10,22,32,10,11,5,0,0,2,0,2,27
"47","27/3/2020","Kedah",35,0,35,16,34,2,1,11,2,0,21,21
"48","27/3/2020","Kelantan",44,0,44,20,47,5,3,28,1,0,36,8
"49","27/3/2020","Melaka",26,0,26,12,23,0,2,14,0,0,22,10
"51","27/3/2020","Pahang",21,0,21,7,37,2,0,12,2,0,32,7
"52","27/3/2020","Perak",47,0,47,17,60,9,2,16,7,0,48,20
"53","27/3/2020","Perlis",13,0,13,4,17,0,1,5,0,0,13,7
"54","27/3/2020","Pulau Pinang",26,0,26,6,28,1,0,8,1,0,20,17
"55","27/3/2020","Sabah",66,4,70,60,66,3,1,17,2,0,25,49
"56","27/3/2020","Sarawak",51,12,63,26,64,10,2,35,9,0,55,16
"57","27/3/2020","Selangor",42,62,104,42,56,25,2,2,14,0,56,75
"58","27/3/2020","Terengganu",23,0,23,12,33,0,0,13,0,0,23,10
"59","27/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,9,0,16,8,0,35,8
"60","27/3/2020","W.P. Labuan",5,2,7,0,5,0,0,0,0,0,0,7
"61","28/3/2020","Johor",37,30,67,10,47,9,0,9,7,0,37,49
"62","28/3/2020","Kedah",35,0,35,16,34,4,2,10,3,0,22,19
"63","28/3/2020","Kelantan",44,0,44,25,47,5,4,27,1,0,39,8
"64","28/3/2020","Melaka",26,0,26,12,23,0,2,15,0,0,18,9
"66","28/3/2020","Pahang",47,0,47,33,63,2,1,23,2,0,55,21
"67","28/3/2020","Perak",68,0,68,46,86,10,3,41,9,0,70,14
"68","28/3/2020","Perlis",13,0,13,4,17,0,1,5,0,0,13,7
"69","28/3/2020","Pulau Pinang",26,0,26,6,28,1,0,8,1,0,18,17
"70","28/3/2020","Sabah",66,4,70,56,66,4,0,23,3,0,32,43
"71","28/3/2020","Sarawak",51,12,63,14,64,12,0,28,10,0,49,23
"72","28/3/2020","Selangor",42,62,104,42,56,31,2,0,18,0,33,71
"73","28/3/2020","Terengganu",23,0,23,12,33,0,0,14,0,0,21,9
"74","28/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,11,0,13,7,0,34,9
"75","28/3/2020","W.P. Labuan",5,2,7,0,5,0,0,0,0,0,0,7
"76","29/3/2020","Johor",37,30,67,10,47,8,0,8,6,0,37,51
"77","29/3/2020","Kedah",35,0,35,16,34,5,0,9,3,0,18,21
"78","29/3/2020","Kelantan",44,0,44,25,47,6,6,24,1,0,34,8
"79","29/3/2020","Melaka",26,0,26,12,23,0,0,14,0,0,3,12
"81","29/3/2020","Pahang",47,0,47,33,63,6,0,18,2,0,54,23
"82","29/3/2020","Perak",68,0,68,46,86,11,3,35,7,0,66,19
"83","29/3/2020","Perlis",13,0,13,4,17,0,1,8,0,0,16,4
"84","29/3/2020","Pulau Pinang",26,0,26,6,28,1,0,9,1,0,20,16
"85","29/3/2020","Sabah",66,4,70,56,66,3,0,20,2,0,29,47
"86","29/3/2020","Sarawak",51,12,63,14,64,13,0,30,10,0,50,20
"87","29/3/2020","Selangor",42,62,104,42,56,30,2,0,19,0,32,72
"88","29/3/2020","Terengganu",23,0,23,12,33,0,0,12,0,0,21,11
"89","29/3/2020","W.P. Kuala Lumpur",33,0,33,30,43,9,0,16,6,0,34,8
"90","29/3/2020","W.P. Labuan",5,2,7,0,5,0,0,4,0,0,2,3
"91","30/3/2020","Johor",37,30,67,10,47,6,0,6,1,0,36,55
"92","30/3/2020","Kedah",35,0,35,16,34,5,1,10,3,0,20,19
"93","30/3/2020","Kelantan",44,0,44,25,47,5,3,26,1,0,37,10
"94","30/3/2020","Melaka",26,0,26,12,23,0,2,18,0,0,21,6
"96","30/3/2020","Pahang",47,0,47,33,63,2,0,23,2,0,52,22
"97","30/3/2020","Perak",68,0,68,46,86,8,1,35,6,0,48,24
"98","30/3/2020","Perlis",13,0,13,4,17,1,1,8,1,0,17,3
"99","30/3/2020","Pulau Pinang",26,0,26,6,28,1,0,7,0,0,23,18
"100","30/3/2020","Sabah",66,4,70,56,66,3,1,23,3,0,32,43
"101","30/3/2020","Sarawak",51,12,63,14,64,14,2,25,9,0,46,22
"102","30/3/2020","Selangor",42,62,104,42,56,30,0,0,18,0,30,74
"103","30/3/2020","Terengganu",23,0,23,12,33,0,1,13,0,0,23,9
"104","30/3/2020","W.P. Kuala Lumpur",33,0,33,33,43,10,0,12,8,0,33,11
"105","30/3/2020","W.P. Labuan",5,2,7,0,5,0,0,5,0,0,2,2
"106","31/3/2020","Johor",37,30,67,0,47,8,0,4,1,0,29,55
"107","31/3/2020","Kedah",35,0,35,16,34,6,0,10,3,0,21,19
"108","31/3/2020","Kelantan",44,0,44,25,47,4,3,30,1,0,33,7
"109","31/3/2020","Melaka",26,0,26,12,23,1,2,17,0,0,21,6
"111","31/3/2020","Pahang",47,0,47,33,63,4,0,22,3,0,57,21
"112","31/3/2020","Perak",68,0,68,46,86,8,2,38,6,0,70,20
"113","31/3/2020","Perlis",13,0,13,4,17,1,0,9,1,0,17,3
